Station_ID,Latitude,Longitude,Address,Charger_Type,Cost_USD_per_kWh,Availability_pct,Distance_to_City_km,Usage_Stats_avg_users_day,Station_Operator,Charging_Capacity_kW,Connector_Types,Installation_Year,Renewable_Energy_Source,Reviews_Rating,Parking_Spots,Maintenance_Frequency
EVST00039,49.583448,-0.820991,"9138 London St, Station Area",AC Level 1,0.1012,54.2,10.83,10.2,ChargePoint,10,"J1772, Type 2",2024,No,3.5,21,Quarterly
EVST00040,49.92733,3.348731,"4097 Paris St, Station Area",AC Level 2,0.1051,69.1,2.54,29.8,Electrify America,26,J1772,2022,Yes,4.4,10,Monthly
EVST00041,38.137367,-121.020442,"6512 San Francisco St, Station Area",DC Fast,0.38,63.1,10.22,52.0,Tesla,231,"CHAdeMO, Type 2",2012,Yes,3.7,24,Annual
EVST00042,-34.789765,151.935273,"1820 Sydney St, Station Area",AC Level 2,0.156,97.6,11.16,38.8,EVgo,22,Tesla Proprietary,2021,No,3.5,16,Quarterly
EVST00043,-31.692032,150.818057,"1430 Sydney St, Station Area",AC Level 2,0.0705,70.6,1.04,27.7,ChargePoint,21,"CHAdeMO, Tesla Proprietary, Type 2",2013,Yes,4.5,24,Monthly
EVST00044,35.015221,136.488766,"7315 Tokyo St, Station Area",AC Level 1,0.0732,88.1,24.82,1.0,EVgo,5,J1772,2019,Yes,3.1,6,Bi-Annual
EVST00045,37.823062,-121.265546,"658 San Francisco St, Station Area",AC Level 2,0.1696,69.3,13.07,38.3,Tesla,24,"CHAdeMO, Type 2",2021,Yes,3.6,8,Bi-Annual
EVST00046,29.01727,79.041593,"4484 New Delhi St, Station Area",AC Level 1,0.0753,56.6,19.53,6.4,Blink,7,"CCS, CHAdeMO, Type 2",2024,Yes,4.3,3,Monthly
EVST00047,34.746701,140.617138,"3167 Tokyo St, Station Area",AC Level 2,0.1715,93.2,4.78,16.2,Electrify America,21,Tesla Proprietary,2012,No,2.7,20,Quarterly
EVST00048,29.320604,75.889536,"163 New Delhi St, Station Area",DC Fast,0.2575,50.0,2.33,37.9,ChargePoint,231,Type 2,2015,No,,22,Quarterly
EVST00049,-34.668979,152.219992,"5312 Sydney St, Station Area",AC Level 2,0.1108,52.8,0.38,33.1,ChargePoint,21,"CCS, CHAdeMO, Type 2",2020,,4.0,9,Monthly
EVST00050,-34.486257,152.500095,"9639 Sydney St, Station Area",AC Level 2,0.1479,68.2,13.62,30.1,Electrify America,29,"CCS, CHAdeMO, Tesla Proprietary",2015,No,3.4,12,Monthly
EVST00051,-31.824836,153.547524,"692 Sydney St, Station Area",AC Level 1,0.0806,84.3,28.83,1.0,ChargePoint,4,"CCS, CHAdeMO, J1772",2021,Yes,4.4,17,Bi-Annual
EVST00052,49.946521,-1.441965,"8157 London St, Station Area",AC Level 1,0.073,67.1,6.93,13.2,Blink,12,"CCS, CHAdeMO, Tesla Proprietary",2014,Yes,4.9,22,Bi-Annual
EVST00053,32.05703,139.310618,"5391 Tokyo St, Station Area",AC Level 2,0.1868,53.3,4.74,27.0,Tesla,20,Type 2,2014,No,4.1,9,Quarterly
EVST00054,38.092605,140.771208,"7235 Tokyo St, Station Area",DC Fast,0.2575,65.9,8.27,42.3,Electrify America,185,CCS,2019,No,3.7,15,Quarterly
EVST00055,39.500192,139.736415,"966 Tokyo St, Station Area",AC Level 2,0.1594,62.2,0.73,33.1,ChargePoint,26,"CHAdeMO, Tesla Proprietary, Type 2",2020,Yes,3.4,6,Quarterly
EVST00056,37.166996,-124.095391,"8690 San Francisco St, Station Area",AC Level 2,0.152,50.3,1.91,28.0,ChargePoint,20,Tesla Proprietary,2014,No,3.5,24,Quarterly
EVST00057,45.951343,2.974124,"115 Paris St, Station Area",DC Fast,0.2222,76.7,6.36,76.5,EVgo,191,J1772,2023,Yes,4.5,26,Bi-Annual
EVST00058,37.309174,-121.551408,"9067 San Francisco St, Station Area",AC Level 1,0.0536,55.8,5.35,20.9,Tesla,9,J1772,2023,No,4.4,22,Monthly
EVST00059,-34.298134,151.341244,"6577 Sydney St, Station Area",AC Level 2,0.1504,64.4,21.81,1.0,EVgo,18,CHAdeMO,2013,,4.2,24,Monthly
EVST00060,-34.153686,151.538677,"3375 Sydney St, Station Area",AC Level 2,0.2094,82.1,5.76,30.4,Tesla,18,"CCS, Tesla Proprietary",2015,No,2.6,23,Monthly
EVST00061,26.943818,76.820941,"72 New Delhi St, Station Area",DC Fast,0.329,86.3,3.07,42.1,Electrify America,152,"J1772, Type 2",2019,No,3.6,25,Bi-Annual
EVST00062,-32.999458,153.426718,"6109 Sydney St, Station Area",AC Level 2,0.0982,63.2,3.69,52.4,BP Pulse,21,"J1772, Tesla Proprietary",2018,Yes,4.1,13,Quarterly
EVST00063,36.462961,138.299262,"875 Tokyo St, Station Area",DC Fast,0.1445,66.5,7.55,41.8,Blink,220,Tesla Proprietary,2015,No,4.0,6,Quarterly
EVST00064,26.372292,76.328019,"6087 New Delhi St, Station Area",DC Fast,0.3367,62.3,1.09,54.1,ChargePoint,185,"Tesla Proprietary, Type 2",2018,No,4.3,28,Quarterly
EVST00065,36.724995,139.666778,"7730 Tokyo St, Station Area",DC Fast,0.2952,97.8,2.91,55.0,Blink,146,,2024,Yes,4.1,1,Bi-Annual
EVST00066,54.586427,1.190631,"2673 London St, Station Area",DC Fast,0.3571,59.5,2.51,48.5,ChargePoint,180,J1772,2015,No,3.2,12,Monthly
EVST00067,28.87184,74.96294,"2387 New Delhi St, Station Area",DC Fast,0.256,59.2,20.37,40.1,EVgo,48,"CHAdeMO, Tesla Proprietary",2014,No,,22,Quarterly
EVST00068,35.170212,137.684855,"2220 Tokyo St, Station Area",DC Fast,0.3175,72.3,3.01,58.0,Shell Recharge,119,J1772,2021,Yes,3.6,24,Bi-Annual
EVST00069,37.561895,-125.475993,"2248 San Francisco St, Station Area",DC Fast,0.3423,59.5,2.39,39.9,Blink,164,,2019,No,4.1,20,Quarterly
EVST00070,36.599085,139.699343,"1139 Tokyo St, Station Area",DC Fast,0.2776,57.8,1.33,62.3,ChargePoint,206,"CCS, CHAdeMO",2020,Yes,3.2,15,Quarterly
EVST00071,-36.464807,149.531841,"2497 Sydney St, Station Area",DC Fast,0.2787,54.8,4.55,47.3,EVgo,160,"CCS, J1772",2020,No,3.8,27,Monthly
EVST00072,51.753986,-0.704625,"6592 London St, Station Area",DC Fast,0.3013,82.0,0.27,58.9,BP Pulse,223,"CCS, Tesla Proprietary",2021,No,,7,Annual
EVST00073,35.090504,140.642367,"3025 Tokyo St, Station Area",AC Level 2,0.1663,80.6,7.71,31.9,ChargePoint,26,J1772,2021,No,3.9,5,Quarterly
EVST00074,40.546638,-123.381714,"7808 San Francisco St, Station Area",AC Level 2,0.1496,82.5,8.64,40.5,Electrify America,20,CCS,2019,No,4.1,19,Bi-Annual
EVST00075,-34.130059,151.556223,"8192 Sydney St, Station Area",AC Level 2,0.1792,88.7,0.89,37.2,Shell Recharge,21,"CCS, J1772, Tesla Proprietary",2017,No,,10,Bi-Annual
EVST00076,38.178031,139.201293,"7609 Tokyo St, Station Area",DC Fast,0.2769,66.3,0.21,27.3,EVgo,170,Type 2,2017,Yes,4.4,14,Bi-Annual
EVST00077,49.851789,0.880371,"5395 London St, Station Area",AC Level 2,0.1101,95.9,3.11,52.6,Tesla,20,"CCS, J1772, Type 2",2015,Yes,4.4,14,Monthly
EVST00078,52.388289,0.584892,"3163 London St, Station Area",DC Fast,0.3988,86.7,26.35,33.3,EVgo,227,"CCS, CHAdeMO, Type 2",2017,No,3.6,8,Quarterly
EVST00079,49.3357,1.314299,"9298 Paris St, Station Area",DC Fast,0.2698,90.2,15.75,67.1,Blink,95,"CHAdeMO, Tesla Proprietary",2019,Yes,3.8,29,Monthly
EVST00080,-35.172371,150.956322,"2053 Sydney St, Station Area",DC Fast,0.2716,86.0,10.6,24.9,EVgo,166,"J1772, Tesla Proprietary",2021,No,3.2,12,Monthly
EVST00081,28.879994,78.774615,"4645 New Delhi St, Station Area",AC Level 2,0.148,67.9,13.33,25.1,ChargePoint,26,J1772,2022,Yes,4.1,20,Monthly
EVST00082,37.494978,140.240365,"4536 Tokyo St, Station Area",DC Fast,0.3034,64.2,15.87,62.6,Electrify America,134,"CHAdeMO, J1772",2016,Yes,3.9,5,Quarterly
EVST00083,37.289212,-124.514843,"7455 San Francisco St, Station Area",DC Fast,0.2807,71.1,3.06,42.2,Shell Recharge,123,"CHAdeMO, J1772, Tesla Proprietary",2021,Yes,3.3,29,Quarterly
EVST00084,-36.406744,152.192727,"5468 Sydney St, Station Area",DC Fast,0.5631958415223196,54.9,4.84,152.3084218412149,Blink,146,"CCS, J1772, Tesla Proprietary",2017,No,3.7,29,Quarterly
EVST00085,48.830256,0.725284,"7994 Paris St, Station Area",DC Fast,0.298,72.6,9.58,53.9,Tesla,191,"CCS, Tesla Proprietary",2016,Yes,,3,Quarterly
EVST00086,-35.222435,153.32807,"9190 Sydney St, Station Area",AC Level 2,0.1552,52.2,2.33,46.1,Blink,20,"CHAdeMO, J1772, Type 2",2014,Yes,4.6,19,Monthly
EVST00087,37.261389,-120.883252,"3906 San Francisco St, Station Area",AC Level 2,0.0793,50.2,18.97,18.5,ChargePoint,17,"CCS, Type 2",2015,No,4.2,18,Quarterly
EVST00088,51.385018,0.307028,"8747 London St, Station Area",AC Level 2,0.2064,96.6,7.51,26.3,Tesla,28,Type 2,2020,No,3.4,6,Quarterly
EVST00089,-36.427278,151.445149,"1697 Sydney St, Station Area",DC Fast,0.2926,84.5,6.68,70.1,ChargePoint,170,"CCS, Tesla Proprietary, Type 2",2014,No,3.9,23,Monthly
EVST00090,-36.292288,150.895752,"9159 Sydney St, Station Area",AC Level 2,0.1674,78.1,3.37,26.0,Electrify America,27,"CHAdeMO, Tesla Proprietary, Type 2",2013,Yes,4.3,23,Bi-Annual
EVST00091,36.3993,140.668086,"1780 Tokyo St, Station Area",DC Fast,0.2311,67.1,0.74,37.9,Blink,188,"CHAdeMO, Tesla Proprietary, Type 2",2015,Yes,4.7,25,Quarterly
EVST00092,-34.652878,150.653133,"8501 Sydney St, Station Area",DC Fast,0.2764,78.5,8.78,51.2,Shell Recharge,259,"J1772, Tesla Proprietary, Type 2",2024,No,4.7,18,Quarterly
EVST00093,24.766783,77.562355,"3902 New Delhi St, Station Area",AC Level 2,0.1298,94.6,9.93,27.7,Blink,28,Tesla Proprietary,2013,Yes,4.4,21,Bi-Annual
EVST00094,36.853466,140.958202,"9644 Tokyo St, Station Area",AC Level 2,0.1941,82.6,17.77,19.9,Blink,18,"CCS, CHAdeMO, Type 2",2013,No,4.3,21,Quarterly
EVST00095,29.022455,76.36629,"1292 New Delhi St, Station Area",AC Level 2,0.1324,80.1,6.8,32.2,Electrify America,24,"J1772, Tesla Proprietary",2017,No,4.2,23,Quarterly
EVST00096,50.436588,-1.052089,"4655 London St, Station Area",DC Fast,0.3379,73.0,8.33,40.1,EVgo,122,"CCS, CHAdeMO, J1772",2016,Yes,4.9,17,Annual
EVST00097,49.532155,-1.919348,"9017 London St, Station Area",AC Level 2,0.1305,67.3,9.62,29.9,ChargePoint,20,"CCS, CHAdeMO, Tesla Proprietary",2023,No,3.5,22,Monthly
EVST00098,-32.615088,149.612591,"475 Sydney St, Station Area",AC Level 1,0.0709,84.9,6.95,1.0,Shell Recharge,4,CCS,2015,Yes,3.7,2,Quarterly
EVST00099,49.380626,-0.390393,"2650 Paris St, Station Area",DC Fast,0.2877,99.0,3.35,57.9,Blink,136,Tesla Proprietary,2017,Yes,4.3,18,Annual
EVST00100,41.348803,-121.324657,"836 San Francisco St, Station Area",AC Level 2,0.1885,71.2,6.38,29.8,ChargePoint,25,"CHAdeMO, J1772",2015,Yes,3.3,6,Bi-Annual
EVST00101,-33.238517,153.922672,"3213 Sydney St, Station Area",DC Fast,0.2055,69.6,1.62,71.9,EVgo,147,CHAdeMO,2015,No,3.1,12,Quarterly
EVST00102,52.088955,2.010193,"3902 London St, Station Area",AC Level 2,0.1105,71.4,1.52,36.4,Tesla,17,J1772,2016,No,3.5,23,Monthly
EVST00103,-34.119192,148.770173,"6188 Sydney St, Station Area",AC Level 2,0.0916,71.3,22.56,17.9,Tesla,14,"CHAdeMO, J1772, Type 2",2015,No,,4,Quarterly
EVST00104,39.000064,-121.332118,"2577 San Francisco St, Station Area",AC Level 1,0.0582,99.5,1.69,12.2,Shell Recharge,11,Tesla Proprietary,2021,Yes,4.0,22,Bi-Annual
EVST00105,-32.931172,153.34246,"1587 Sydney St, Station Area",AC Level 2,0.1257,85.3,4.86,36.1,EVgo,24,"CHAdeMO, J1772",2022,No,3.6,8,Quarterly
EVST00106,-31.991212,150.524085,"1700 Sydney St, Station Area",AC Level 2,0.1016,68.0,4.83,36.5,Blink,18,Type 2,2014,No,3.6,22,Monthly
EVST00107,-34.650784,151.361471,"9383 Sydney St, Station Area",DC Fast,0.2633,68.6,6.17,31.8,Blink,173,"J1772, Type 2",2018,No,3.1,23,Monthly
EVST00108,48.203489,-0.65964,"9531 Paris St, Station Area",AC Level 2,0.0896,71.5,28.92,33.1,ChargePoint,33,"CHAdeMO, Tesla Proprietary",2015,No,2.2,1,Bi-Annual
EVST00109,34.957545,140.050404,"2214 Tokyo St, Station Area",AC Level 2,0.1195,51.8,2.29,37.9,Electrify America,25,Tesla Proprietary,2023,No,3.1,7,Quarterly
EVST00110,-32.682597,149.61396,"1954 Sydney St, Station Area",AC Level 2,0.186,76.4,0.31,21.7,ChargePoint,8,"Tesla Proprietary, Type 2",2013,No,3.9,24,Annual
EVST00111,53.754962,0.171653,"542 London St, Station Area",AC Level 2,0.1621,90.6,3.45,41.4,Tesla,35,"CHAdeMO, Tesla Proprietary, Type 2",2017,Yes,4.0,10,Quarterly
EVST00112,-34.557061,148.867496,"9592 Sydney St, Station Area",DC Fast,0.3094,83.0,3.56,40.6,Tesla,58,"CHAdeMO, J1772, Tesla Proprietary",2016,No,4.0,13,Quarterly
EVST00113,48.219439,3.166487,"7061 Paris St, Station Area",AC Level 2,0.1199,59.9,1.12,36.9,Electrify America,21,Tesla Proprietary,2016,Yes,4.2,1,Monthly
EVST00114,36.147316,141.187069,"7607 Tokyo St, Station Area",DC Fast,0.2232,86.4,0.19,59.1,ChargePoint,93,"CCS, CHAdeMO",2024,No,3.3,21,Quarterly
EVST00115,48.487958,1.17743,"2906 Paris St, Station Area",AC Level 2,0.1158,86.0,2.59,52.5,ChargePoint,18,CHAdeMO,2019,Yes,3.8,3,Quarterly
EVST00116,50.28468,0.646816,"6409 Paris St, Station Area",AC Level 1,0.0791,63.1,6.93,7.9,Shell Recharge,8,"CCS, Type 2",2016,Yes,5.0,8,Monthly
EVST00117,34.397234,-125.653435,"598 San Francisco St, Station Area",AC Level 2,0.176,81.1,0.19,28.2,Tesla,12,"CCS, CHAdeMO, Type 2",2022,Yes,4.0,14,Quarterly
EVST00118,36.534842,-122.81902,"6759 San Francisco St, Station Area",AC Level 1,0.5582681706431459,80.5,3.96,157.25974383532278,EVgo,7,J1772,2022,No,4.2,23,Monthly
EVST00119,50.333775,-1.000191,"5796 London St, Station Area",DC Fast,0.3315,92.0,4.66,53.4,Electrify America,207,"CCS, CHAdeMO, Tesla Proprietary",2013,Yes,3.9,15,Bi-Annual
EVST00120,34.294366,-124.745929,"3315 San Francisco St, Station Area",AC Level 2,0.1279,56.8,16.89,22.2,Shell Recharge,18,CCS,2018,No,4.5,29,Monthly
EVST00121,34.230742,140.329828,"7104 Tokyo St, Station Area",AC Level 2,0.1507,59.7,18.01,28.0,Blink,15,"CCS, Tesla Proprietary",2017,No,3.4,16,Quarterly
EVST00122,-35.241534,150.534344,"6463 Sydney St, Station Area",DC Fast,0.5535541364512303,74.3,11.51,151.88291897937302,Shell Recharge,143,J1772,2017,Yes,4.2,8,Quarterly
EVST00123,48.554943,0.738596,"4390 Paris St, Station Area",AC Level 2,0.144,52.2,3.77,43.2,ChargePoint,20,"CCS, Type 2",2016,No,4.9,6,Monthly
EVST00124,37.345649,138.818441,"1867 Tokyo St, Station Area",DC Fast,0.4019,70.8,2.19,55.4,BP Pulse,120,J1772,2022,No,3.7,23,Quarterly
EVST00125,28.246309,78.815957,"236 New Delhi St, Station Area",DC Fast,0.2119,89.4,3.08,65.7,ChargePoint,91,"CHAdeMO, J1772, Tesla Proprietary",2024,No,4.0,14,Bi-Annual
EVST00126,47.310379,3.256605,"9376 Paris St, Station Area",DC Fast,0.2883,57.4,4.49,51.7,Blink,176,J1772,2012,,4.8,18,Quarterly
EVST00127,37.689468,-122.614439,"2814 San Francisco St, Station Area",DC Fast,0.3606,73.0,9.72,66.1,ChargePoint,180,CHAdeMO,2023,No,4.2,11,Quarterly
EVST00128,-32.29504,152.137958,"3018 Sydney St, Station Area",DC Fast,0.2267,99.5,6.98,71.3,Electrify America,97,"CHAdeMO, Tesla Proprietary",2023,Yes,,8,Bi-Annual
EVST00129,47.392662,0.610832,"6810 Paris St, Station Area",AC Level 2,0.1307,75.3,0.19,51.0,BP Pulse,17,CCS,2016,No,3.4,18,Annual
EVST00130,47.490738,2.400755,"2552 Paris St, Station Area",DC Fast,0.2735,74.9,6.38,57.5,Blink,157,"CCS, CHAdeMO, Tesla Proprietary",2018,No,4.1,9,Bi-Annual
EVST00131,49.694423,2.573183,"3757 Paris St, Station Area",AC Level 1,0.0755,77.9,12.79,5.8,Blink,5,CHAdeMO,2013,No,3.9,29,Quarterly
EVST00132,48.524296,1.647445,"7111 Paris St, Station Area",DC Fast,0.2202,59.3,19.52,37.1,Blink,159,"CCS, Type 2",2016,Yes,4.4,22,Quarterly
EVST00133,38.746127,-121.766212,"5953 San Francisco St, Station Area",DC Fast,0.3298,57.4,0.55,55.5,ChargePoint,223,Tesla Proprietary,2015,No,4.2,24,Quarterly
EVST00134,48.83613,1.18155,"6564 Paris St, Station Area",AC Level 1,0.0933,83.9,42.48,1.0,Electrify America,7,"J1772, Tesla Proprietary, Type 2",2023,Yes,4.2,9,Quarterly
EVST00135,-32.816305,151.974031,"47 Sydney St, Station Area",DC Fast,0.3254,69.8,6.17,72.6,ChargePoint,89,CHAdeMO,2013,Yes,4.1,1,Quarterly
EVST00136,49.954783,0.699988,"4513 London St, Station Area",DC Fast,0.2565,64.5,0.57,64.9,BP Pulse,170,"CHAdeMO, Type 2",2016,Yes,4.2,2,Bi-Annual
EVST00137,48.838473,-2.02354,"4752 Paris St, Station Area",AC Level 2,0.1526,51.6,10.35,30.9,BP Pulse,21,"CCS, J1772, Tesla Proprietary",2018,No,4.4,25,Quarterly
EVST00138,37.458865,-120.633941,"6324 San Francisco St, Station Area",AC Level 2,0.123,92.3,15.92,5.8,ChargePoint,21,"J1772, Tesla Proprietary, Type 2",2024,Yes,4.7,26,Bi-Annual
EVST00139,33.852364,135.078851,"1515 Tokyo St, Station Area",DC Fast,0.2834,51.6,2.87,53.5,EVgo,174,"CHAdeMO, Tesla Proprietary, Type 2",2022,No,3.7,20,Annual
EVST00140,33.330983,138.726226,"1595 Tokyo St, Station Area",DC Fast,0.4077,87.5,2.08,36.3,BP Pulse,185,"CCS, CHAdeMO, Tesla Proprietary",2024,No,2.6,18,Quarterly
EVST00141,29.642524,78.747022,"7623 New Delhi St, Station Area",AC Level 1,0.0819,69.1,3.39,14.8,Shell Recharge,7,"CCS, Tesla Proprietary, Type 2",2016,No,4.1,7,Monthly
EVST00142,50.980971,-0.60373,"6732 London St, Station Area",AC Level 2,0.1144,79.9,7.63,27.1,Electrify America,22,"CCS, CHAdeMO, Type 2",2015,No,4.4,22,Annual
EVST00143,49.97398,-2.327079,"8111 London St, Station Area",DC Fast,0.309,62.4,2.79,59.4,ChargePoint,253,J1772,2019,No,3.5,15,Monthly
EVST00144,35.531932,138.009694,"2706 Tokyo St, Station Area",AC Level 2,0.1094,57.8,0.9,37.1,ChargePoint,28,"J1772, Tesla Proprietary, Type 2",2016,,3.7,18,Bi-Annual
EVST00145,30.305928,78.749359,"9975 New Delhi St, Station Area",AC Level 2,0.114,76.7,3.79,21.5,Electrify America,26,"CHAdeMO, Tesla Proprietary, Type 2",2012,No,3.6,1,Monthly
EVST00146,25.192793,74.326743,"2728 New Delhi St, Station Area",AC Level 1,0.0592,84.8,2.56,3.9,EVgo,7,"J1772, Tesla Proprietary",2022,Yes,4.3,15,Monthly
